"","Primary Key","Organization Name","Sub-building Name","Building Name","Number","Primary THoroughfare","Alt Thoroughfare","Secondary Thorughtfare","Locality","Townland","Town","County","Postcode","X-Cordinate","Y-Cordinate","county_categorized"
"1",7389,NA,NA,NA,"4","THEIPVAL COURT",NA,NA,"NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BY",266938,422865,"5"
"2",66450,NA,NA,NA,"7","THEIPVAL COURT",NA,NA,"NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BY",266978,422845,"5"
"3",95740,NA,NA,NA,"4","DONALD'S WAY",NA,NA,"NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267401,422512,"5"
"4",175238,NA,NA,NA,"6","DONALD'S WAY",NA,NA,"NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267411,422499,"5"
"5",201778,NA,NA,NA,"10","DONALD'S WAY",NA,NA,"NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267418,422476,"5"
"6",204416,NA,NA,NA,"5","DONALD'S WAY",NA,NA,"NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267409,422504,"5"
"7",213454,NA,NA,NA,"15","DONALD'S WAY",NA,NA,"NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267450,422483,"5"
"8",245197,NA,NA,NA,"3","DONALD'S WAY",NA,NA,"NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267396,422522,"5"
"9",257308,NA,NA,NA,"1","DONALD'S WAY",NA,NA,"NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AZ",267393,422539,"5"
"10",257347,NA,NA,NA,"11","THEIPVAL COURT",NA,NA,"NEWTOWN LIMAVADY","NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BY",266952,422826,"5"
